id	category	message	expected_action	risk_type	note	sent_message	actual_action	is_correct	error_type	stage	verdict	score	model_version	reason	message_status	message_id	checked_at
1	공격적으로 보이는 무해 문장	아 진짜 답답하네 다시 해보자	PASS	aggressive_but_safe	상황 불만	[HATESCORE_UNSMILE] 아 진짜 답답하네 다시 해보자	PASS	TRUE		AI	PASS	0.009924	hatescore-unsmile-v1	hatescore-unsmile-v1:cascade:hatescore:None=0.010:pass_by_hatescore_low	VISIBLE	06FDG9SVD188F5QKBWTFDET154	2026-06-18 00:35:17.714311
2	공격적으로 보이는 무해 문장	와 이 판 너무 터졌다 다음 판 가자	PASS	aggressive_but_safe	게임 상황 표현	[HATESCORE_UNSMILE] 와 이 판 너무 터졌다 다음 판 가자	PASS	TRUE		AI	PASS	0.008642	hatescore-unsmile-v1	hatescore-unsmile-v1:cascade:hatescore:None=0.009:pass_by_hatescore_low	VISIBLE	06FDG9SW4W0M221WV2Q3R4GCVM	2026-06-18 00:35:17.788996
3	공격적으로 보이는 무해 문장	방금 플레이는 좀 아쉬웠다	PASS	aggressive_but_safe	비판이지만 인신공격 아님	[HATESCORE_UNSMILE] 방금 플레이는 좀 아쉬웠다	PASS	TRUE		AI	PASS	0.005682	hatescore-unsmile-v1	hatescore-unsmile-v1:cascade:hatescore:None=0.006:pass_by_hatescore_low	VISIBLE	06FDG9SWY2AX62088GBFQJYP1C	2026-06-18 00:35:17.865506
4	공격적으로 보이는 무해 문장	이건 솔직히 별로였어	PASS	aggressive_but_safe	콘텐츠 평가	[HATESCORE_UNSMILE] 이건 솔직히 별로였어	PASS	TRUE		AI	PASS	0.006405	hatescore-unsmile-v1	hatescore-unsmile-v1:cascade:hatescore:None=0.006:pass_by_hatescore_low	VISIBLE	06FDG9SXQ0NW97K41AJ4ZKAHNR	2026-06-18 00:35:17.953509
5	공격적으로 보이는 무해 문장	오늘 경기 흐름이 너무 처참했다	PASS	aggressive_but_safe	경기 상태 평가	[HATESCORE_UNSMILE] 오늘 경기 흐름이 너무 처참했다	PASS	TRUE		AI	PASS	0.005889	hatescore-unsmile-v1	hatescore-unsmile-v1:cascade:hatescore:None=0.006:pass_by_hatescore_low	VISIBLE	06FDG9SYG407HCSYXS6F38TNJG	2026-06-18 00:35:18.025249
6	공격적으로 보이는 무해 문장	아니 왜 거기서 들어가냐	PASS	aggressive_but_safe	상황 반응	[HATESCORE_UNSMILE] 아니 왜 거기서 들어가냐	PASS	TRUE		AI	PASS	0.006089	hatescore-unsmile-v1	hatescore-unsmile-v1:cascade:hatescore:None=0.006:pass_by_hatescore_low	VISIBLE	06FDG9SZ98TAZWC7H7TDJ2DCNW	2026-06-18 00:35:18.097096
7	공격적으로 보이는 무해 문장	그 판단은 좀 위험했어	PASS	aggressive_but_safe	행동 평가	[HATESCORE_UNSMILE] 그 판단은 좀 위험했어	PASS	TRUE		AI	PASS	0.006076	hatescore-unsmile-v1	hatescore-unsmile-v1:cascade:hatescore:None=0.006:pass_by_hatescore_low	VISIBLE	06FDG9T02CR7P8KVZW1P11V6X0	2026-06-18 00:35:18.181856
8	공격적으로 보이는 무해 문장	팀 합이 안 맞아서 답답하다	PASS	aggressive_but_safe	팀워크 평가	[HATESCORE_UNSMILE] 팀 합이 안 맞아서 답답하다	PASS	TRUE		AI	PASS	0.006070	hatescore-unsmile-v1	hatescore-unsmile-v1:cascade:hatescore:None=0.006:pass_by_hatescore_low	VISIBLE	06FDG9T0VD9Q8EH4NZ1KZDGFDR	2026-06-18 00:35:18.261191
9	공격적으로 보이는 무해 문장	이 전략은 실패한 것 같아	PASS	aggressive_but_safe	전략 평가	[HATESCORE_UNSMILE] 이 전략은 실패한 것 같아	PASS	TRUE		AI	PASS	0.005827	hatescore-unsmile-v1	hatescore-unsmile-v1:cascade:hatescore:None=0.006:pass_by_hatescore_low	VISIBLE	06FDG9T1MBS37JFKVSC6777R40	2026-06-18 00:35:18.338583
10	공격적으로 보이는 무해 문장	방송 오늘 좀 산만하네	PASS	aggressive_but_safe	방송 평가	[HATESCORE_UNSMILE] 방송 오늘 좀 산만하네	PASS	TRUE		AI	PASS	0.006930	hatescore-unsmile-v1	hatescore-unsmile-v1:cascade:hatescore:None=0.007:pass_by_hatescore_low	VISIBLE	06FDG9T2DC6DCKNHKQJ9YPQZ4C	2026-06-18 00:35:18.410125
11	공격적으로 보이는 무해 문장	아 손이 꼬였네 다시 집중하자	PASS	aggressive_but_safe	자기 실수 표현	[HATESCORE_UNSMILE] 아 손이 꼬였네 다시 집중하자	PASS	TRUE		AI	PASS	0.018791	hatescore-unsmile-v1	hatescore-unsmile-v1:cascade:hatescore:None=0.019:pass_by_hatescore_low	VISIBLE	06FDG9T36JMA2CP30T4K95Q0BW	2026-06-18 00:35:18.490331
