id	category	message	expected_action	risk_type	note	sent_message	actual_action	is_correct	error_type	stage	verdict	score	model_version	reason	message_status	message_id	checked_at
1	공격적으로 보이는 무해 문장	아 진짜 답답하네 다시 해보자	PASS	aggressive_but_safe	상황 불만	아 진짜 답답하네 다시 해보자	PASS	TRUE		AI	PASS	0.190783	unsmile-v1	unsmile-v1:clean=0.191	VISIBLE	06FD905RCDWHB6K2NGWYV24EXW	2026-06-17 07:34:33.017328
2	공격적으로 보이는 무해 문장	와 이 판 너무 터졌다 다음 판 가자	PASS	aggressive_but_safe	게임 상황 표현	와 이 판 너무 터졌다 다음 판 가자	PASS	TRUE		AI	PASS	0.097165	unsmile-v1	unsmile-v1:clean=0.097	VISIBLE	06FD905RQQVX4XNS2EXB85TJV0	2026-06-17 07:34:33.126536
3	공격적으로 보이는 무해 문장	방금 플레이는 좀 아쉬웠다	PASS	aggressive_but_safe	비판이지만 인신공격 아님	방금 플레이는 좀 아쉬웠다	PASS	TRUE		AI	PASS	0.054673	unsmile-v1	unsmile-v1:clean=0.055	VISIBLE	06FD905S46GE76P4CWWAC87QCR	2026-06-17 07:34:33.237535
4	공격적으로 보이는 무해 문장	이건 솔직히 별로였어	PASS	aggressive_but_safe	콘텐츠 평가	이건 솔직히 별로였어	PASS	TRUE		AI	PASS	0.097177	unsmile-v1	unsmile-v1:clean=0.097	VISIBLE	06FD905SGPB4F1NHSV8EVPWFDR	2026-06-17 07:34:33.348175
5	공격적으로 보이는 무해 문장	오늘 경기 흐름이 너무 처참했다	PASS	aggressive_but_safe	경기 상태 평가	오늘 경기 흐름이 너무 처참했다	PASS	TRUE		AI	PASS	0.083691	unsmile-v1	unsmile-v1:clean=0.084	VISIBLE	06FD905SX87CYN9R4T66B6JEZC	2026-06-17 07:34:33.419703
6	공격적으로 보이는 무해 문장	아니 왜 거기서 들어가냐	PASS	aggressive_but_safe	상황 반응	아니 왜 거기서 들어가냐	PASS	TRUE		AI	PASS	0.133803	unsmile-v1	unsmile-v1:clean=0.134	VISIBLE	06FD905T9RDGFSQVGVWCSGQFH0	2026-06-17 07:34:33.509745
7	공격적으로 보이는 무해 문장	그 판단은 좀 위험했어	PASS	aggressive_but_safe	행동 평가	그 판단은 좀 위험했어	PASS	TRUE		AI	PASS	0.063045	unsmile-v1	unsmile-v1:clean=0.063	VISIBLE	06FD905TPPER6HM9AR4BFBR3K4	2026-06-17 07:34:33.624439
8	공격적으로 보이는 무해 문장	팀 합이 안 맞아서 답답하다	PASS	aggressive_but_safe	팀워크 평가	팀 합이 안 맞아서 답답하다	PASS	TRUE		AI	PASS	0.071730	unsmile-v1	unsmile-v1:clean=0.072	VISIBLE	06FD905V306FQSCXMJ1741C6H8	2026-06-17 07:34:33.692147
9	공격적으로 보이는 무해 문장	이 전략은 실패한 것 같아	PASS	aggressive_but_safe	전략 평가	이 전략은 실패한 것 같아	PASS	TRUE		AI	PASS	0.090056	unsmile-v1	unsmile-v1:clean=0.090	VISIBLE	06FD905VFNYCBVDMCBPMGGXPKG	2026-06-17 07:34:33.772808
10	공격적으로 보이는 무해 문장	방송 오늘 좀 산만하네	PASS	aggressive_but_safe	방송 평가	방송 오늘 좀 산만하네	PASS	TRUE		AI	PASS	0.081278	unsmile-v1	unsmile-v1:clean=0.081	VISIBLE	06FD905VW434G7EMZF1H0ZH6KW	2026-06-17 07:34:33.862862
11	공격적으로 보이는 무해 문장	아 손이 꼬였네 다시 집중하자	PASS	aggressive_but_safe	자기 실수 표현	아 손이 꼬였네 다시 집중하자	PASS	TRUE		AI	PASS	0.217155	unsmile-v1	unsmile-v1:clean=0.217	VISIBLE	06FD905W8PBCF29HYKVXP91R5G	2026-06-17 07:34:33.946419
12	공격적으로 보이는 무해 문장	방금은 내가 너무 못했다	PASS	aggressive_but_safe	자기 비판	방금은 내가 너무 못했다	PASS	TRUE		AI	PASS	0.074340	unsmile-v1	unsmile-v1:clean=0.074	VISIBLE	06FD905WNDPFFZJ1A85T490BJM	2026-06-17 07:34:34.050034
13	공격적으로 보이는 무해 문장	상대가 너무 잘해서 힘들다	PASS	aggressive_but_safe	상대 칭찬 포함	상대가 너무 잘해서 힘들다	PASS	TRUE		AI	PASS	0.072661	unsmile-v1	unsmile-v1:clean=0.073	VISIBLE	06FD905X1XE6NX34TMQ13D6KDG	2026-06-17 07:34:34.140728
14	공격적으로 보이는 무해 문장	와 멘탈 나갈 뻔했다	PASS	aggressive_but_safe	감정 표현	와 멘탈 나갈 뻔했다	PASS	TRUE		AI	PASS	0.093611	unsmile-v1	unsmile-v1:clean=0.094	VISIBLE	06FD905XEG8SQ3JK1VA76SR4W0	2026-06-17 07:34:34.240028
15	공격적으로 보이는 무해 문장	진짜 열받지만 인정한다	PASS	aggressive_but_safe	공격 대상 없음	진짜 열받지만 인정한다	PASS	TRUE		AI	PASS	0.318956	unsmile-v1	unsmile-v1:clean=0.319	VISIBLE	06FD905XTW70SHNNGESTHDNE2C	2026-06-17 07:34:34.329454
16	공격적으로 보이는 무해 문장	그 장면은 보기 불편했다	PASS	aggressive_but_safe	장면 평가	그 장면은 보기 불편했다	PASS	TRUE		AI	PASS	0.064676	unsmile-v1	unsmile-v1:clean=0.065	VISIBLE	06FD905Y7P4GK3SJEK61AA8RZC	2026-06-17 07:34:34.440174
17	공격적으로 보이는 무해 문장	오늘 운영이 엉망이긴 했다	PASS	aggressive_but_safe	운영 평가	오늘 운영이 엉망이긴 했다	PASS	TRUE		AI	PASS	0.075696	unsmile-v1	unsmile-v1:clean=0.076	VISIBLE	06FD905YMAQ70F6TZJYPN9JR8R	2026-06-17 07:34:34.525922
18	공격적으로 보이는 무해 문장	이 조합은 좀 별로다	PASS	aggressive_but_safe	게임 조합 평가	이 조합은 좀 별로다	PASS	TRUE		AI	PASS	0.202986	unsmile-v1	unsmile-v1:clean=0.203	VISIBLE	06FD905Z0VM9AQEX1C5JHSGR0G	2026-06-17 07:34:34.621830
19	공격적으로 보이는 무해 문장	아까 판단은 민폐가 될 수도 있어	PASS	aggressive_but_safe	주의 표현	아까 판단은 민폐가 될 수도 있어	PASS	TRUE		AI	PASS	0.199364	unsmile-v1	unsmile-v1:clean=0.199	VISIBLE	06FD905ZDBJKTQKQCW79THS1ER	2026-06-17 07:34:34.682014
20	공격적으로 보이는 무해 문장	이건 팀 입장에서 손해가 크다	PASS	aggressive_but_safe	분석형 표현	이건 팀 입장에서 손해가 크다	PASS	TRUE		AI	PASS	0.064512	unsmile-v1	unsmile-v1:clean=0.065	VISIBLE	06FD905ZSWSNKD1MZAM1JH6ZV4	2026-06-17 07:34:34.773445
21	공격적으로 보이는 무해 문장	너무 무리하지 말고 천천히 하자	PASS	aggressive_but_safe	권유	너무 무리하지 말고 천천히 하자	PASS	TRUE		AI	PASS	0.087076	unsmile-v1	unsmile-v1:clean=0.087	VISIBLE	06FD90606DT6BXWENBC1M1F5SC	2026-06-17 07:34:34.869661
