id	category	message	expected_action	risk_type	note	sent_message	actual_action	is_correct	error_type	stage	verdict	score	model_version	reason	message_status	message_id	checked_at
1	공격적으로 보이는 무해 문장	아 진짜 답답하네 다시 해보자	PASS	aggressive_but_safe	상황 불만	[UNSMILE_HATESCORE] 아 진짜 답답하네 다시 해보자	PASS	TRUE		AI	PASS	0.274821	unsmile-hatescore-v1	unsmile-hatescore-v1:cascade:unsmile:clean=0.275:pass_by_hatescore_low	VISIBLE	06FDGBFNRS6N6EQ1BVR2KH8304	2026-06-18 00:42:35.948069
2	공격적으로 보이는 무해 문장	와 이 판 너무 터졌다 다음 판 가자	PASS	aggressive_but_safe	게임 상황 표현	[UNSMILE_HATESCORE] 와 이 판 너무 터졌다 다음 판 가자	PASS	TRUE		AI	PASS	0.106661	unsmile-hatescore-v1	unsmile-hatescore-v1:cascade:unsmile:clean=0.107:pass_by_hatescore_low	VISIBLE	06FDGBFPJ10H7GW12S4688P5XC	2026-06-18 00:42:36.026071
3	공격적으로 보이는 무해 문장	방금 플레이는 좀 아쉬웠다	PASS	aggressive_but_safe	비판이지만 인신공격 아님	[UNSMILE_HATESCORE] 방금 플레이는 좀 아쉬웠다	PASS	TRUE		AI	PASS	0.067305	unsmile-hatescore-v1	unsmile-hatescore-v1:cascade:unsmile:clean=0.067:pass_by_hatescore_low	VISIBLE	06FDGBFQB14VCCGY59JKBD37Q4	2026-06-18 00:42:36.113405
4	공격적으로 보이는 무해 문장	이건 솔직히 별로였어	PASS	aggressive_but_safe	콘텐츠 평가	[UNSMILE_HATESCORE] 이건 솔직히 별로였어	PASS	TRUE		AI	PASS	0.101058	unsmile-hatescore-v1	unsmile-hatescore-v1:cascade:unsmile:clean=0.101:pass_by_hatescore_low	VISIBLE	06FDGBFR47RZHB706J5CJN1C3R	2026-06-18 00:42:36.178061
5	공격적으로 보이는 무해 문장	오늘 경기 흐름이 너무 처참했다	PASS	aggressive_but_safe	경기 상태 평가	[UNSMILE_HATESCORE] 오늘 경기 흐름이 너무 처참했다	PASS	TRUE		AI	PASS	0.095151	unsmile-hatescore-v1	unsmile-hatescore-v1:cascade:unsmile:clean=0.095:pass_by_hatescore_low	VISIBLE	06FDGBFRX672QYJHNYVBJKDQ3C	2026-06-18 00:42:36.264010
6	공격적으로 보이는 무해 문장	아니 왜 거기서 들어가냐	PASS	aggressive_but_safe	상황 반응	[UNSMILE_HATESCORE] 아니 왜 거기서 들어가냐	PASS	TRUE		AI	PASS	0.143927	unsmile-hatescore-v1	unsmile-hatescore-v1:cascade:unsmile:clean=0.144:pass_by_hatescore_low	VISIBLE	06FDGBFSP4ST3X3TMXR2GFJFBM	2026-06-18 00:42:36.340609
7	공격적으로 보이는 무해 문장	그 판단은 좀 위험했어	PASS	aggressive_but_safe	행동 평가	[UNSMILE_HATESCORE] 그 판단은 좀 위험했어	PASS	TRUE		AI	PASS	0.070650	unsmile-hatescore-v1	unsmile-hatescore-v1:cascade:unsmile:clean=0.071:pass_by_hatescore_low	VISIBLE	06FDGBFTF9H7TSEQWHHQ6WR7W8	2026-06-18 00:42:36.409638
8	공격적으로 보이는 무해 문장	팀 합이 안 맞아서 답답하다	PASS	aggressive_but_safe	팀워크 평가	[UNSMILE_HATESCORE] 팀 합이 안 맞아서 답답하다	PASS	TRUE		AI	PASS	0.090067	unsmile-hatescore-v1	unsmile-hatescore-v1:cascade:unsmile:clean=0.090:pass_by_hatescore_low	VISIBLE	06FDGBFV8BHW2GWXC5SJP4C5CG	2026-06-18 00:42:36.482815
9	공격적으로 보이는 무해 문장	이 전략은 실패한 것 같아	PASS	aggressive_but_safe	전략 평가	[UNSMILE_HATESCORE] 이 전략은 실패한 것 같아	PASS	TRUE		AI	PASS	0.087895	unsmile-hatescore-v1	unsmile-hatescore-v1:cascade:unsmile:clean=0.088:pass_by_hatescore_low	VISIBLE	06FDGBFW1FG3Z1NGQPZA7VVS48	2026-06-18 00:42:36.550180
10	공격적으로 보이는 무해 문장	방송 오늘 좀 산만하네	PASS	aggressive_but_safe	방송 평가	[UNSMILE_HATESCORE] 방송 오늘 좀 산만하네	PASS	TRUE		AI	PASS	0.099560	unsmile-hatescore-v1	unsmile-hatescore-v1:cascade:unsmile:clean=0.100:pass_by_hatescore_low	VISIBLE	06FDGBFWTDZWYX1VKSA90299ZG	2026-06-18 00:42:36.623220
11	공격적으로 보이는 무해 문장	아 손이 꼬였네 다시 집중하자	PASS	aggressive_but_safe	자기 실수 표현	[UNSMILE_HATESCORE] 아 손이 꼬였네 다시 집중하자	PASS	TRUE		AI	PASS	0.239132	unsmile-hatescore-v1	unsmile-hatescore-v1:cascade:unsmile:clean=0.239:pass_by_hatescore_low	VISIBLE	06FDGBFXKH8GZ3B94HGYJ9MFDR	2026-06-18 00:42:36.695988
12	공격적으로 보이는 무해 문장	방금은 내가 너무 못했다	PASS	aggressive_but_safe	자기 비판	[UNSMILE_HATESCORE] 방금은 내가 너무 못했다	PASS	TRUE		AI	PASS	0.084756	unsmile-hatescore-v1	unsmile-hatescore-v1:cascade:unsmile:clean=0.085:pass_by_hatescore_low	VISIBLE	06FDGBFYCJ86R7XVPW86WS7NAR	2026-06-18 00:42:36.773478
13	공격적으로 보이는 무해 문장	상대가 너무 잘해서 힘들다	PASS	aggressive_but_safe	상대 칭찬 포함	[UNSMILE_HATESCORE] 상대가 너무 잘해서 힘들다	PASS	TRUE		AI	PASS	0.086669	unsmile-hatescore-v1	unsmile-hatescore-v1:cascade:unsmile:clean=0.087:pass_by_hatescore_low	VISIBLE	06FDGBFZ5QV763EQ58DKPSZDT8	2026-06-18 00:42:36.834364
14	공격적으로 보이는 무해 문장	와 멘탈 나갈 뻔했다	PASS	aggressive_but_safe	감정 표현	[UNSMILE_HATESCORE] 와 멘탈 나갈 뻔했다	PASS	TRUE		AI	PASS	0.115337	unsmile-hatescore-v1	unsmile-hatescore-v1:cascade:unsmile:clean=0.115:pass_by_hatescore_low	VISIBLE	06FDGBFZYMRQ761WM535BTNXFG	2026-06-18 00:42:36.920331
15	공격적으로 보이는 무해 문장	진짜 열받지만 인정한다	PASS	aggressive_but_safe	공격 대상 없음	[UNSMILE_HATESCORE] 진짜 열받지만 인정한다	PASS	TRUE		AI	PASS	0.174643	unsmile-hatescore-v1	unsmile-hatescore-v1:cascade:unsmile:clean=0.175:pass_by_hatescore_low	VISIBLE	06FDGBG0QR199466752X2FSR5G	2026-06-18 00:42:37.000322
16	공격적으로 보이는 무해 문장	그 장면은 보기 불편했다	PASS	aggressive_but_safe	장면 평가	[UNSMILE_HATESCORE] 그 장면은 보기 불편했다	PASS	TRUE		AI	PASS	0.074986	unsmile-hatescore-v1	unsmile-hatescore-v1:cascade:unsmile:clean=0.075:pass_by_hatescore_low	VISIBLE	06FDGBG1GNXHKYGQ3NNPSDQCF4	2026-06-18 00:42:37.065962
17	공격적으로 보이는 무해 문장	오늘 운영이 엉망이긴 했다	PASS	aggressive_but_safe	운영 평가	[UNSMILE_HATESCORE] 오늘 운영이 엉망이긴 했다	PASS	TRUE		AI	PASS	0.093873	unsmile-hatescore-v1	unsmile-hatescore-v1:cascade:unsmile:clean=0.094:pass_by_hatescore_low	VISIBLE	06FDGBG29TMM9ZRGTVR1HJHC0C	2026-06-18 00:42:37.129889
18	공격적으로 보이는 무해 문장	이 조합은 좀 별로다	PASS	aggressive_but_safe	게임 조합 평가	[UNSMILE_HATESCORE] 이 조합은 좀 별로다	PASS	TRUE		AI	PASS	0.149589	unsmile-hatescore-v1	unsmile-hatescore-v1:cascade:unsmile:clean=0.150:pass_by_hatescore_low	VISIBLE	06FDGBG32W4VPXQ6105XJ6XJ7W	2026-06-18 00:42:37.212201
19	공격적으로 보이는 무해 문장	아까 판단은 민폐가 될 수도 있어	PASS	aggressive_but_safe	주의 표현	[UNSMILE_HATESCORE] 아까 판단은 민폐가 될 수도 있어	PASS	TRUE		AI	PASS	0.321625	unsmile-hatescore-v1	unsmile-hatescore-v1:cascade:unsmile:clean=0.322:pass_by_hatescore_low	VISIBLE	06FDGBG3VYPA6FNWQ800M7H2NM	2026-06-18 00:42:37.282299
20	공격적으로 보이는 무해 문장	이건 팀 입장에서 손해가 크다	PASS	aggressive_but_safe	분석형 표현	[UNSMILE_HATESCORE] 이건 팀 입장에서 손해가 크다	PASS	TRUE		AI	PASS	0.079837	unsmile-hatescore-v1	unsmile-hatescore-v1:cascade:unsmile:clean=0.080:pass_by_hatescore_low	VISIBLE	06FDGBG4N7K8SR3F5EX4J8AFSC	2026-06-18 00:42:37.359581
21	공격적으로 보이는 무해 문장	너무 무리하지 말고 천천히 하자	PASS	aggressive_but_safe	권유	[UNSMILE_HATESCORE] 너무 무리하지 말고 천천히 하자	PASS	TRUE		AI	PASS	0.103692	unsmile-hatescore-v1	unsmile-hatescore-v1:cascade:unsmile:clean=0.104:pass_by_hatescore_low	VISIBLE	06FDGBG5E76PWSFD6TMA623E2C	2026-06-18 00:42:37.423129
22	공격적으로 보이는 무해 문장	지금 분위기 살벌하네	PASS	aggressive_but_safe	분위기 묘사	[UNSMILE_HATESCORE] 지금 분위기 살벌하네	PASS	TRUE		AI	PASS	0.149653	unsmile-hatescore-v1	unsmile-hatescore-v1:cascade:unsmile:clean=0.150:pass_by_hatescore_low	VISIBLE	06FDGBG6797P22MX0XPJ3HDN38	2026-06-18 00:42:37.508465
23	공격적으로 보이는 무해 문장	상대 압박이 미쳤다	PASS	aggressive_but_safe	강조 표현	[UNSMILE_HATESCORE] 상대 압박이 미쳤다	PASS	TRUE		AI	PASS	0.092106	unsmile-hatescore-v1	unsmile-hatescore-v1:cascade:unsmile:clean=0.092:pass_by_hatescore_low	VISIBLE	06FDGBG70FK9XZDSRK0V1DKG44	2026-06-18 00:42:37.569718
24	공격적으로 보이는 무해 문장	와 이건 그냥 졌다 인정	PASS	aggressive_but_safe	패배 인정	[UNSMILE_HATESCORE] 와 이건 그냥 졌다 인정	PASS	TRUE		AI	PASS	0.108947	unsmile-hatescore-v1	unsmile-hatescore-v1:cascade:unsmile:clean=0.109:pass_by_hatescore_low	VISIBLE	06FDGBG7SPXW3YZDRS0XYJETM8	2026-06-18 00:42:37.635487
25	공격적으로 보이는 무해 문장	오늘 컨디션이 너무 안 좋아 보인다	PASS	aggressive_but_safe	상태 관찰	[UNSMILE_HATESCORE] 오늘 컨디션이 너무 안 좋아 보인다	PASS	TRUE		AI	PASS	0.066932	unsmile-hatescore-v1	unsmile-hatescore-v1:cascade:unsmile:clean=0.067:pass_by_hatescore_low	VISIBLE	06FDGBG8JHR0BAM7DKVY2PXPYW	2026-06-18 00:42:37.725861
