id	category	message	expected_action	risk_type	note	sent_message	actual_action	is_correct	error_type	stage	verdict	score	model_version	reason	message_status	message_id	checked_at
1	공격적으로 보이는 무해 문장	아 진짜 답답하네 다시 해보자	PASS	aggressive_but_safe	상황 불만	[UNSMILE_LABELDUMP] 아 진짜 답답하네 다시 해보자	PASS	TRUE		AI	PASS	0.134876	unsmile-weighted-labeldump-v1	"unsmile_weighted:악플/욕설=0.135:raw=0.211:weighted=0.211:clean=0.765:labels={""여성/가족"":0.01,""남성"":0.009,""성소수자"":0.01,""인종/국적"":0.015,""연령"":0.007,""지역"":0.01,""종교"":0.009,""기타 혐오"":0.008,""악플/욕설"":0.211,""clean"":0.765}"	VISIBLE	06FDKK7QMREMGBJ67VT4RWY5Z0	2026-06-18 08:15:53.941207
2	공격적으로 보이는 무해 문장	와 이 판 너무 터졌다 다음 판 가자	PASS	aggressive_but_safe	게임 상황 표현	[UNSMILE_LABELDUMP] 와 이 판 너무 터졌다 다음 판 가자	MISSING	FALSE	MISSING								
3	공격적으로 보이는 무해 문장	방금 플레이는 좀 아쉬웠다	PASS	aggressive_but_safe	비판이지만 인신공격 아님	[UNSMILE_LABELDUMP] 방금 플레이는 좀 아쉬웠다	PASS	TRUE		AI	PASS	0.000000	unsmile-weighted-labeldump-v1	"unsmile_weighted:악플/욕설=0.000:raw=0.060:weighted=0.060:clean=0.912:labels={""여성/가족"":0.017,""남성"":0.013,""성소수자"":0.016,""인종/국적"":0.02,""연령"":0.009,""지역"":0.014,""종교"":0.012,""기타 혐오"":0.009,""악플/욕설"":0.06,""clean"":0.912}"	VISIBLE	06FDKK7S707E9V7ZGB85VD7XVG	2026-06-18 08:15:56.069475
4	공격적으로 보이는 무해 문장	이건 솔직히 별로였어	PASS	aggressive_but_safe	콘텐츠 평가	[UNSMILE_LABELDUMP] 이건 솔직히 별로였어	PASS	TRUE		AI	PASS	0.000000	unsmile-weighted-labeldump-v1	"unsmile_weighted:악플/욕설=0.000:raw=0.085:weighted=0.085:clean=0.887:labels={""여성/가족"":0.015,""남성"":0.01,""성소수자"":0.013,""인종/국적"":0.018,""연령"":0.008,""지역"":0.011,""종교"":0.011,""기타 혐오"":0.009,""악플/욕설"":0.085,""clean"":0.887}"	VISIBLE	06FDKK7T03CX78G54RBZP1Z850	2026-06-18 08:15:56.129325
5	공격적으로 보이는 무해 문장	오늘 경기 흐름이 너무 처참했다	PASS	aggressive_but_safe	경기 상태 평가	[UNSMILE_LABELDUMP] 오늘 경기 흐름이 너무 처참했다	PASS	TRUE		AI	PASS	0.000000	unsmile-weighted-labeldump-v1	"unsmile_weighted:악플/욕설=0.000:raw=0.082:weighted=0.082:clean=0.891:labels={""여성/가족"":0.015,""남성"":0.011,""성소수자"":0.012,""인종/국적"":0.018,""연령"":0.008,""지역"":0.014,""종교"":0.011,""기타 혐오"":0.01,""악플/욕설"":0.082,""clean"":0.891}"	VISIBLE	06FDKK7TS7S4859KF7DG1C0MNW	2026-06-18 08:15:56.196619
6	공격적으로 보이는 무해 문장	아니 왜 거기서 들어가냐	PASS	aggressive_but_safe	상황 반응	[UNSMILE_LABELDUMP] 아니 왜 거기서 들어가냐	PASS	TRUE		AI	PASS	0.017085	unsmile-weighted-labeldump-v1	"unsmile_weighted:악플/욕설=0.017:raw=0.103:weighted=0.103:clean=0.857:labels={""여성/가족"":0.013,""남성"":0.01,""성소수자"":0.011,""인종/국적"":0.017,""연령"":0.007,""지역"":0.011,""종교"":0.012,""기타 혐오"":0.008,""악플/욕설"":0.103,""clean"":0.857}"	VISIBLE	06FDKK7VJ468DJTNTMX7P28SPG	2026-06-18 08:15:56.271196
7	공격적으로 보이는 무해 문장	그 판단은 좀 위험했어	PASS	aggressive_but_safe	행동 평가	[UNSMILE_LABELDUMP] 그 판단은 좀 위험했어	PASS	TRUE		AI	PASS	0.000000	unsmile-weighted-labeldump-v1	"unsmile_weighted:악플/욕설=0.000:raw=0.063:weighted=0.063:clean=0.905:labels={""여성/가족"":0.015,""남성"":0.012,""성소수자"":0.017,""인종/국적"":0.018,""연령"":0.009,""지역"":0.013,""종교"":0.012,""기타 혐오"":0.01,""악플/욕설"":0.063,""clean"":0.905}"	VISIBLE	06FDKK7WBBW4MHGTA65ET392HW	2026-06-18 08:15:56.329165
8	공격적으로 보이는 무해 문장	팀 합이 안 맞아서 답답하다	PASS	aggressive_but_safe	팀워크 평가	[UNSMILE_LABELDUMP] 팀 합이 안 맞아서 답답하다	PASS	TRUE		AI	PASS	0.000000	unsmile-weighted-labeldump-v1	"unsmile_weighted:악플/욕설=0.000:raw=0.076:weighted=0.076:clean=0.895:labels={""여성/가족"":0.016,""남성"":0.011,""성소수자"":0.012,""인종/국적"":0.02,""연령"":0.008,""지역"":0.013,""종교"":0.011,""기타 혐오"":0.009,""악플/욕설"":0.076,""clean"":0.895}"	VISIBLE	06FDKK7X4CDZX6JE9PTSP7W05M	2026-06-18 08:15:56.405467
9	공격적으로 보이는 무해 문장	이 전략은 실패한 것 같아	PASS	aggressive_but_safe	전략 평가	[UNSMILE_LABELDUMP] 이 전략은 실패한 것 같아	PASS	TRUE		AI	PASS	0.000000	unsmile-weighted-labeldump-v1	"unsmile_weighted:악플/욕설=0.000:raw=0.076:weighted=0.076:clean=0.903:labels={""여성/가족"":0.015,""남성"":0.012,""성소수자"":0.015,""인종/국적"":0.02,""연령"":0.008,""지역"":0.013,""종교"":0.012,""기타 혐오"":0.01,""악플/욕설"":0.076,""clean"":0.903}"	VISIBLE	06FDKK7XXA2M7VDMX4X6A7DP68	2026-06-18 08:15:56.464833
10	공격적으로 보이는 무해 문장	방송 오늘 좀 산만하네	PASS	aggressive_but_safe	방송 평가	[UNSMILE_LABELDUMP] 방송 오늘 좀 산만하네	MISSING	FALSE	MISSING								
