id	category	message	expected_action	risk_type	note	sent_message	actual_action	is_correct	error_type	stage	verdict	score	model_version	reason	message_status	message_id	checked_at
1	공격적으로 보이는 무해 문장	아 진짜 답답하네 다시 해보자	PASS	aggressive_but_safe	상황 불만	[HATESCORE] 아 진짜 답답하네 다시 해보자	PASS	TRUE		AI	PASS	0.012496	hatescore-v1	hatescore-v1:hatescore:None=0.012	VISIBLE	06FD99W01D7HY0NZ8SC71G788C	2026-06-17 08:16:47.678629
2	공격적으로 보이는 무해 문장	와 이 판 너무 터졌다 다음 판 가자	PASS	aggressive_but_safe	게임 상황 표현	[HATESCORE] 와 이 판 너무 터졌다 다음 판 가자	PASS	TRUE		AI	PASS	0.011199	hatescore-v1	hatescore-v1:hatescore:None=0.011	VISIBLE	06FD99W0TEAYYXDJSN4SFQE888	2026-06-17 08:16:47.878534
3	공격적으로 보이는 무해 문장	방금 플레이는 좀 아쉬웠다	PASS	aggressive_but_safe	비판이지만 인신공격 아님	[HATESCORE] 방금 플레이는 좀 아쉬웠다	PASS	TRUE		AI	PASS	0.005802	hatescore-v1	hatescore-v1:hatescore:None=0.006	VISIBLE	06FD99W1KKB20WJEEV8HCWDNH8	2026-06-17 08:16:48.073613
4	공격적으로 보이는 무해 문장	이건 솔직히 별로였어	PASS	aggressive_but_safe	콘텐츠 평가	[HATESCORE] 이건 솔직히 별로였어	PASS	TRUE		AI	PASS	0.007493	hatescore-v1	hatescore-v1:hatescore:None=0.007	VISIBLE	06FD99W2CRRWHGRYXA9X84QMC8	2026-06-17 08:16:48.273260
5	공격적으로 보이는 무해 문장	오늘 경기 흐름이 너무 처참했다	PASS	aggressive_but_safe	경기 상태 평가	[HATESCORE] 오늘 경기 흐름이 너무 처참했다	PASS	TRUE		AI	PASS	0.006749	hatescore-v1	hatescore-v1:hatescore:None=0.007	VISIBLE	06FD99W35RBY1EPWJR058H39MW	2026-06-17 08:16:48.473305
6	공격적으로 보이는 무해 문장	아니 왜 거기서 들어가냐	PASS	aggressive_but_safe	상황 반응	[HATESCORE] 아니 왜 거기서 들어가냐	PASS	TRUE		AI	PASS	0.007240	hatescore-v1	hatescore-v1:hatescore:None=0.007	VISIBLE	06FD99W3YZVDA1A34VV2ZDCN3M	2026-06-17 08:16:48.682046
7	공격적으로 보이는 무해 문장	그 판단은 좀 위험했어	PASS	aggressive_but_safe	행동 평가	[HATESCORE] 그 판단은 좀 위험했어	PASS	TRUE		AI	PASS	0.006285	hatescore-v1	hatescore-v1:hatescore:None=0.006	VISIBLE	06FD99W4QTRR0S2WSB3MRNTMW8	2026-06-17 08:16:48.874634
8	공격적으로 보이는 무해 문장	팀 합이 안 맞아서 답답하다	PASS	aggressive_but_safe	팀워크 평가	[HATESCORE] 팀 합이 안 맞아서 답답하다	PASS	TRUE		AI	PASS	0.006331	hatescore-v1	hatescore-v1:hatescore:None=0.006	VISIBLE	06FD99W5GWPQBRHZ20P66JTAXR	2026-06-17 08:16:49.073584
9	공격적으로 보이는 무해 문장	이 전략은 실패한 것 같아	PASS	aggressive_but_safe	전략 평가	[HATESCORE] 이 전략은 실패한 것 같아	PASS	TRUE		AI	PASS	0.005952	hatescore-v1	hatescore-v1:hatescore:None=0.006	VISIBLE	06FD99W69XDRYFV7M8N59D6HCM	2026-06-17 08:16:49.273389
10	공격적으로 보이는 무해 문장	방송 오늘 좀 산만하네	PASS	aggressive_but_safe	방송 평가	[HATESCORE] 방송 오늘 좀 산만하네	PASS	TRUE		AI	PASS	0.007904	hatescore-v1	hatescore-v1:hatescore:None=0.008	VISIBLE	06FD99W731HGS30HQK40ZK11QR	2026-06-17 08:16:49.485665
11	공격적으로 보이는 무해 문장	아 손이 꼬였네 다시 집중하자	PASS	aggressive_but_safe	자기 실수 표현	[HATESCORE] 아 손이 꼬였네 다시 집중하자	PASS	TRUE		AI	PASS	0.047345	hatescore-v1	hatescore-v1:hatescore:None=0.047	VISIBLE	06FD99W7W3PGNB075T3C5YNXN4	2026-06-17 08:16:49.678325
12	공격적으로 보이는 무해 문장	방금은 내가 너무 못했다	PASS	aggressive_but_safe	자기 비판	[HATESCORE] 방금은 내가 너무 못했다	PASS	TRUE		AI	PASS	0.006740	hatescore-v1	hatescore-v1:hatescore:None=0.007	VISIBLE	06FD99W8N5AJ3BERDBFKTDKE8M	2026-06-17 08:16:49.883527
13	공격적으로 보이는 무해 문장	상대가 너무 잘해서 힘들다	PASS	aggressive_but_safe	상대 칭찬 포함	[HATESCORE] 상대가 너무 잘해서 힘들다	PASS	TRUE		AI	PASS	0.006429	hatescore-v1	hatescore-v1:hatescore:None=0.006	VISIBLE	06FD99W9E85RT3NVR6H1F0K5DM	2026-06-17 08:16:50.075786
14	공격적으로 보이는 무해 문장	와 멘탈 나갈 뻔했다	PASS	aggressive_but_safe	감정 표현	[HATESCORE] 와 멘탈 나갈 뻔했다	PASS	TRUE		AI	PASS	0.011851	hatescore-v1	hatescore-v1:hatescore:None=0.012	VISIBLE	06FD99WA7FKFDWPZCJZPS920D4	2026-06-17 08:16:50.277353
15	공격적으로 보이는 무해 문장	진짜 열받지만 인정한다	PASS	aggressive_but_safe	공격 대상 없음	[HATESCORE] 진짜 열받지만 인정한다	PASS	TRUE		AI	PASS	0.018512	hatescore-v1	hatescore-v1:hatescore:None=0.019	VISIBLE	06FD99WB0JRN04QHHMQBR58RYR	2026-06-17 08:16:50.487889
16	공격적으로 보이는 무해 문장	그 장면은 보기 불편했다	PASS	aggressive_but_safe	장면 평가	[HATESCORE] 그 장면은 보기 불편했다	PASS	TRUE		AI	PASS	0.006165	hatescore-v1	hatescore-v1:hatescore:None=0.006	VISIBLE	06FD99WBSH1RDY7CRQ2D478WPR	2026-06-17 08:16:50.683480
17	공격적으로 보이는 무해 문장	오늘 운영이 엉망이긴 했다	PASS	aggressive_but_safe	운영 평가	[HATESCORE] 오늘 운영이 엉망이긴 했다	PASS	TRUE		AI	PASS	0.006181	hatescore-v1	hatescore-v1:hatescore:None=0.006	VISIBLE	06FD99WCJK80X8MJMBCC4NXWKG	2026-06-17 08:16:50.883326
18	공격적으로 보이는 무해 문장	이 조합은 좀 별로다	PASS	aggressive_but_safe	게임 조합 평가	[HATESCORE] 이 조합은 좀 별로다	PASS	TRUE		AI	PASS	0.007144	hatescore-v1	hatescore-v1:hatescore:None=0.007	VISIBLE	06FD99WDBM0S2XKRGNM58N4WK4	2026-06-17 08:16:51.086877
19	공격적으로 보이는 무해 문장	아까 판단은 민폐가 될 수도 있어	PASS	aggressive_but_safe	주의 표현	[HATESCORE] 아까 판단은 민폐가 될 수도 있어	PASS	TRUE		AI	PASS	0.040802	hatescore-v1	hatescore-v1:hatescore:None=0.041	VISIBLE	06FD99WE4N56MPB6KHC1DX2SW4	2026-06-17 08:16:51.283142
20	공격적으로 보이는 무해 문장	이건 팀 입장에서 손해가 크다	PASS	aggressive_but_safe	분석형 표현	[HATESCORE] 이건 팀 입장에서 손해가 크다	PASS	TRUE		AI	PASS	0.006019	hatescore-v1	hatescore-v1:hatescore:None=0.006	VISIBLE	06FD99WEXQRDDFAMMA5Y57YRVW	2026-06-17 08:16:51.487244
21	공격적으로 보이는 무해 문장	너무 무리하지 말고 천천히 하자	PASS	aggressive_but_safe	권유	[HATESCORE] 너무 무리하지 말고 천천히 하자	PASS	TRUE		AI	PASS	0.006387	hatescore-v1	hatescore-v1:hatescore:None=0.006	VISIBLE	06FD99WFPSCAS1CSNZGA5NA7HW	2026-06-17 08:16:51.685433
22	공격적으로 보이는 무해 문장	지금 분위기 살벌하네	PASS	aggressive_but_safe	분위기 묘사	[HATESCORE] 지금 분위기 살벌하네	PASS	TRUE		AI	PASS	0.011005	hatescore-v1	hatescore-v1:hatescore:None=0.011	VISIBLE	06FD99WGFWR9YZ922HQZZG2HW4	2026-06-17 08:16:51.887455
23	공격적으로 보이는 무해 문장	상대 압박이 미쳤다	PASS	aggressive_but_safe	강조 표현	[HATESCORE] 상대 압박이 미쳤다	PASS	TRUE		AI	PASS	0.006873	hatescore-v1	hatescore-v1:hatescore:None=0.007	VISIBLE	06FD99WH8WZ8A4G1A746W7JPD8	2026-06-17 08:16:52.085189
24	공격적으로 보이는 무해 문장	와 이건 그냥 졌다 인정	PASS	aggressive_but_safe	패배 인정	[HATESCORE] 와 이건 그냥 졌다 인정	PASS	TRUE		AI	PASS	0.009609	hatescore-v1	hatescore-v1:hatescore:None=0.010	VISIBLE	06FD99WJ27ECTYW1DTTVFB7GH0	2026-06-17 08:16:52.285490
25	공격적으로 보이는 무해 문장	오늘 컨디션이 너무 안 좋아 보인다	PASS	aggressive_but_safe	상태 관찰	[HATESCORE] 오늘 컨디션이 너무 안 좋아 보인다	PASS	TRUE		AI	PASS	0.005294	hatescore-v1	hatescore-v1:hatescore:None=0.005	VISIBLE	06FD99WJV4F4K1AVZVMW8CJQW8	2026-06-17 08:16:52.490938
26	공격적으로 보이는 무해 문장	방금 콜은 너무 급했다	PASS	aggressive_but_safe	판단 평가	[HATESCORE] 방금 콜은 너무 급했다	PASS	TRUE		AI	PASS	0.006417	hatescore-v1	hatescore-v1:hatescore:None=0.006	VISIBLE	06FD99WKM4BEWWGTWM35GKQWCM	2026-06-17 08:16:52.693447
27	공격적으로 보이는 무해 문장	이 타이밍은 진짜 아깝다	PASS	aggressive_but_safe	아쉬움 표현	[HATESCORE] 이 타이밍은 진짜 아깝다	PASS	TRUE		AI	PASS	0.007886	hatescore-v1	hatescore-v1:hatescore:None=0.008	VISIBLE	06FD99WMD4DE6P0BKQ31YWKHS4	2026-06-17 08:16:52.883380
28	공격적으로 보이는 무해 문장	지금은 무리하면 다 터진다	PASS	aggressive_but_safe	게임 상황 표현	[HATESCORE] 지금은 무리하면 다 터진다	PASS	TRUE		AI	PASS	0.008897	hatescore-v1	hatescore-v1:hatescore:None=0.009	VISIBLE	06FD99WN6NTM8E9G8FB911GGBW	2026-06-17 08:16:53.093490
29	공격적으로 보이는 무해 문장	아 이건 보기 힘든 경기다	PASS	aggressive_but_safe	경기 평가	[HATESCORE] 아 이건 보기 힘든 경기다	PASS	TRUE		AI	PASS	0.007450	hatescore-v1	hatescore-v1:hatescore:None=0.007	VISIBLE	06FD99WNZTMCJMNPRK87XGMVYG	2026-06-17 08:16:53.297416
30	공격적으로 보이는 무해 문장	상대 움직임이 너무 까다롭다	PASS	aggressive_but_safe	상대 평가	[HATESCORE] 상대 움직임이 너무 까다롭다	PASS	TRUE		AI	PASS	0.005908	hatescore-v1	hatescore-v1:hatescore:None=0.006	VISIBLE	06FD99WPRW1YGTFDMKH17F2RER	2026-06-17 08:16:53.495152
31	공격적으로 보이는 무해 문장	오늘 픽은 조금 답이 없어 보인다	PASS	aggressive_but_safe	전략 평가	[HATESCORE] 오늘 픽은 조금 답이 없어 보인다	PASS	TRUE		AI	PASS	0.006546	hatescore-v1	hatescore-v1:hatescore:None=0.007	VISIBLE	06FD99WQHWS7J4BX096RG1F2BG	2026-06-17 08:16:53.702283
32	공격적으로 보이는 무해 문장	이 장면은 다시 보면 화날 듯	PASS	aggressive_but_safe	감정 예측	[HATESCORE] 이 장면은 다시 보면 화날 듯	PASS	TRUE		AI	PASS	0.006775	hatescore-v1	hatescore-v1:hatescore:None=0.007	VISIBLE	06FD99WRB0Q1SQVW6M2JRNKFJ4	2026-06-17 08:16:53.893360
33	공격적으로 보이는 무해 문장	방금 판단은 냉정하게 실패야	PASS	aggressive_but_safe	행동 평가	[HATESCORE] 방금 판단은 냉정하게 실패야	PASS	TRUE		AI	PASS	0.007334	hatescore-v1	hatescore-v1:hatescore:None=0.007	VISIBLE	06FD99WS409F3TBFTQACMA5044	2026-06-17 08:16:54.103183
34	공격적으로 보이는 무해 문장	라인전이 너무 말렸다	PASS	aggressive_but_safe	게임 표현	[HATESCORE] 라인전이 너무 말렸다	PASS	TRUE		AI	PASS	0.007122	hatescore-v1	hatescore-v1:hatescore:None=0.007	VISIBLE	06FD99WSXFXMF77F7Y1MN5E7JC	2026-06-17 08:16:54.305674
35	공격적으로 보이는 무해 문장	오늘 흐름은 진짜 무겁다	PASS	aggressive_but_safe	분위기 표현	[HATESCORE] 오늘 흐름은 진짜 무겁다	PASS	TRUE		AI	PASS	0.006009	hatescore-v1	hatescore-v1:hatescore:None=0.006	VISIBLE	06FD99WTP9XE584C4F5V06YVG4	2026-06-17 08:16:54.505975
36	공격적으로 보이는 무해 문장	그 선택은 조금 무서웠다	PASS	aggressive_but_safe	행동 평가	[HATESCORE] 그 선택은 조금 무서웠다	PASS	TRUE		AI	PASS	0.007485	hatescore-v1	hatescore-v1:hatescore:None=0.007	VISIBLE	06FD99WVFE2K711J6D364JW9MG	2026-06-17 08:16:54.696334
37	공격적으로 보이는 무해 문장	이건 실수라고 봐야겠다	PASS	aggressive_but_safe	실수 평가	[HATESCORE] 이건 실수라고 봐야겠다	PASS	TRUE		AI	PASS	0.006452	hatescore-v1	hatescore-v1:hatescore:None=0.006	VISIBLE	06FD99WW8E60XAE2JFZY2G241M	2026-06-17 08:16:54.903256
38	공격적으로 보이는 무해 문장	팀 전체가 흔들리는 느낌이다	PASS	aggressive_but_safe	팀 상태 평가	[HATESCORE] 팀 전체가 흔들리는 느낌이다	PASS	TRUE		AI	PASS	0.005899	hatescore-v1	hatescore-v1:hatescore:None=0.006	VISIBLE	06FD99WX1JQVKNBME2GBVS2B3C	2026-06-17 08:16:55.101529
