id	category	message	expected_action	risk_type	note	sent_message	actual_action	is_correct	error_type	stage	verdict	score	model_version	reason	message_status	message_id	checked_at
1	공격적으로 보이는 무해 문장	아 진짜 답답하네 다시 해보자	PASS	aggressive_but_safe	상황 불만	[UNSMILE_WEIGHTED_TH035] 아 진짜 답답하네 다시 해보자	PASS	TRUE		AI	PASS	0.140759	unsmile-weighted-th035-v1	unsmile_weighted:악플/욕설=0.141:raw=0.217:weighted=0.217:clean=0.765	VISIBLE	06FDKJ1QE6FEDRFSPGD1SR1C4R	2026-06-18 08:10:37.859558
2	공격적으로 보이는 무해 문장	와 이 판 너무 터졌다 다음 판 가자	PASS	aggressive_but_safe	게임 상황 표현	[UNSMILE_WEIGHTED_TH035] 와 이 판 너무 터졌다 다음 판 가자	PASS	TRUE		AI	PASS	0.000000	unsmile-weighted-th035-v1	unsmile_weighted:악플/욕설=0.000:raw=0.086:weighted=0.086:clean=0.889	VISIBLE	06FDKJ1R7BB2CECHZ4HPJF11SR	2026-06-18 08:10:38.067360
3	공격적으로 보이는 무해 문장	방금 플레이는 좀 아쉬웠다	PASS	aggressive_but_safe	비판이지만 인신공격 아님	[UNSMILE_WEIGHTED_TH035] 방금 플레이는 좀 아쉬웠다	PASS	TRUE		AI	PASS	0.000000	unsmile-weighted-th035-v1	unsmile_weighted:악플/욕설=0.000:raw=0.064:weighted=0.064:clean=0.908	VISIBLE	06FDKJ1S0D72NSQMF4A6JHQ0R4	2026-06-18 08:10:38.264153
4	공격적으로 보이는 무해 문장	이건 솔직히 별로였어	PASS	aggressive_but_safe	콘텐츠 평가	[UNSMILE_WEIGHTED_TH035] 이건 솔직히 별로였어	PASS	TRUE		AI	PASS	0.011580	unsmile-weighted-th035-v1	unsmile_weighted:악플/욕설=0.012:raw=0.099:weighted=0.099:clean=0.877	VISIBLE	06FDKJ1SSGXDTMZM5Q2AZN7NYC	2026-06-18 08:10:38.466679
5	공격적으로 보이는 무해 문장	오늘 경기 흐름이 너무 처참했다	PASS	aggressive_but_safe	경기 상태 평가	[UNSMILE_WEIGHTED_TH035] 오늘 경기 흐름이 너무 처참했다	PASS	TRUE		AI	PASS	0.000000	unsmile-weighted-th035-v1	unsmile_weighted:악플/욕설=0.000:raw=0.083:weighted=0.083:clean=0.889	VISIBLE	06FDKJ1TJN8D5JRHCKNK19H7WC	2026-06-18 08:10:38.659668
6	공격적으로 보이는 무해 문장	아니 왜 거기서 들어가냐	PASS	aggressive_but_safe	상황 반응	[UNSMILE_WEIGHTED_TH035] 아니 왜 거기서 들어가냐	PASS	TRUE		AI	PASS	0.039808	unsmile-weighted-th035-v1	unsmile_weighted:악플/욕설=0.040:raw=0.124:weighted=0.124:clean=0.843	VISIBLE	06FDKJ1VBPMDQAXPAEHNHFH9FC	2026-06-18 08:10:38.859914
7	공격적으로 보이는 무해 문장	그 판단은 좀 위험했어	PASS	aggressive_but_safe	행동 평가	[UNSMILE_WEIGHTED_TH035] 그 판단은 좀 위험했어	PASS	TRUE		AI	PASS	0.000000	unsmile-weighted-th035-v1	unsmile_weighted:악플/욕설=0.000:raw=0.066:weighted=0.066:clean=0.903	VISIBLE	06FDKJ1W4TH6VFK4YGR9W6DDCG	2026-06-18 08:10:39.064509
8	공격적으로 보이는 무해 문장	팀 합이 안 맞아서 답답하다	PASS	aggressive_but_safe	팀워크 평가	[UNSMILE_WEIGHTED_TH035] 팀 합이 안 맞아서 답답하다	PASS	TRUE		AI	PASS	0.000000	unsmile-weighted-th035-v1	unsmile_weighted:악플/욕설=0.000:raw=0.082:weighted=0.082:clean=0.891	VISIBLE	06FDKJ1WXSDSTRGDZW2Q4W9D8R	2026-06-18 08:10:39.270672
9	공격적으로 보이는 무해 문장	이 전략은 실패한 것 같아	PASS	aggressive_but_safe	전략 평가	[UNSMILE_WEIGHTED_TH035] 이 전략은 실패한 것 같아	PASS	TRUE		AI	PASS	0.000000	unsmile-weighted-th035-v1	unsmile_weighted:악플/욕설=0.000:raw=0.084:weighted=0.084:clean=0.897	VISIBLE	06FDKJ1XPWTWVFB5VXXJPCB4KG	2026-06-18 08:10:39.471943
10	공격적으로 보이는 무해 문장	방송 오늘 좀 산만하네	PASS	aggressive_but_safe	방송 평가	[UNSMILE_WEIGHTED_TH035] 방송 오늘 좀 산만하네	PASS	TRUE		AI	PASS	0.000544	unsmile-weighted-th035-v1	unsmile_weighted:악플/욕설=0.001:raw=0.089:weighted=0.089:clean=0.887	VISIBLE	06FDKJ1YG30F9ZYP8YNX6H9NYC	2026-06-18 08:10:39.650886
11	공격적으로 보이는 무해 문장	아 손이 꼬였네 다시 집중하자	PASS	aggressive_but_safe	자기 실수 표현	[UNSMILE_WEIGHTED_TH035] 아 손이 꼬였네 다시 집중하자	PASS	TRUE		AI	PASS	0.131614	unsmile-weighted-th035-v1	unsmile_weighted:악플/욕설=0.132:raw=0.209:weighted=0.209:clean=0.772	VISIBLE	06FDKJ1Z91DX3TFWYCPTADGCBG	2026-06-18 08:10:39.871555
12	공격적으로 보이는 무해 문장	방금은 내가 너무 못했다	PASS	aggressive_but_safe	자기 비판	[UNSMILE_WEIGHTED_TH035] 방금은 내가 너무 못했다	PASS	TRUE		AI	PASS	0.000000	unsmile-weighted-th035-v1	unsmile_weighted:악플/욕설=0.000:raw=0.076:weighted=0.076:clean=0.894	VISIBLE	06FDKJ2025SN4A6HBRV088STC4	2026-06-18 08:10:40.069805
13	공격적으로 보이는 무해 문장	상대가 너무 잘해서 힘들다	PASS	aggressive_but_safe	상대 칭찬 포함	[UNSMILE_WEIGHTED_TH035] 상대가 너무 잘해서 힘들다	PASS	TRUE		AI	PASS	0.000000	unsmile-weighted-th035-v1	unsmile_weighted:악플/욕설=0.000:raw=0.077:weighted=0.077:clean=0.895	VISIBLE	06FDKJ20VBNJ703KZ1B1DTWBTR	2026-06-18 08:10:40.270650
14	공격적으로 보이는 무해 문장	와 멘탈 나갈 뻔했다	PASS	aggressive_but_safe	감정 표현	[UNSMILE_WEIGHTED_TH035] 와 멘탈 나갈 뻔했다	PASS	TRUE		AI	PASS	0.011820	unsmile-weighted-th035-v1	unsmile_weighted:악플/욕설=0.012:raw=0.099:weighted=0.099:clean=0.869	VISIBLE	06FDKJ21M4B9DVBF4930BXDJVW	2026-06-18 08:10:40.471072
15	공격적으로 보이는 무해 문장	진짜 열받지만 인정한다	PASS	aggressive_but_safe	공격 대상 없음	[UNSMILE_WEIGHTED_TH035] 진짜 열받지만 인정한다	PASS	TRUE		AI	PASS	0.069610	unsmile-weighted-th035-v1	unsmile_weighted:악플/욕설=0.070:raw=0.152:weighted=0.152:clean=0.823	VISIBLE	06FDKJ22D8SZFZVXNVQ1KQVSG8	2026-06-18 08:10:40.659646
16	공격적으로 보이는 무해 문장	그 장면은 보기 불편했다	PASS	aggressive_but_safe	장면 평가	[UNSMILE_WEIGHTED_TH035] 그 장면은 보기 불편했다	PASS	TRUE		AI	PASS	0.000000	unsmile-weighted-th035-v1	unsmile_weighted:악플/욕설=0.000:raw=0.071:weighted=0.071:clean=0.901	VISIBLE	06FDKJ236DTSBXT3ZDW8CBBR8R	2026-06-18 08:10:40.869471
17	공격적으로 보이는 무해 문장	오늘 운영이 엉망이긴 했다	PASS	aggressive_but_safe	운영 평가	[UNSMILE_WEIGHTED_TH035] 오늘 운영이 엉망이긴 했다	PASS	TRUE		AI	PASS	0.000000	unsmile-weighted-th035-v1	unsmile_weighted:악플/욕설=0.000:raw=0.085:weighted=0.085:clean=0.887	VISIBLE	06FDKJ23ZF0298RG6Z84Y360VG	2026-06-18 08:10:41.071135
18	공격적으로 보이는 무해 문장	이 조합은 좀 별로다	PASS	aggressive_but_safe	게임 조합 평가	[UNSMILE_WEIGHTED_TH035] 이 조합은 좀 별로다	PASS	TRUE		AI	PASS	0.043555	unsmile-weighted-th035-v1	unsmile_weighted:악플/욕설=0.044:raw=0.129:weighted=0.129:clean=0.852	VISIBLE	06FDKJ24RGQCV95N4JAMGPMXV0	2026-06-18 08:10:41.271303
19	공격적으로 보이는 무해 문장	아까 판단은 민폐가 될 수도 있어	PASS	aggressive_but_safe	주의 표현	[UNSMILE_WEIGHTED_TH035] 아까 판단은 민폐가 될 수도 있어	PASS	TRUE		AI	PASS	0.171662	unsmile-weighted-th035-v1	unsmile_weighted:악플/욕설=0.172:raw=0.247:weighted=0.247:clean=0.755	VISIBLE	06FDKJ25HNC16JYRBKSGSRFK6R	2026-06-18 08:10:41.473419
20	공격적으로 보이는 무해 문장	이건 팀 입장에서 손해가 크다	PASS	aggressive_but_safe	분석형 표현	[UNSMILE_WEIGHTED_TH035] 이건 팀 입장에서 손해가 크다	PASS	TRUE		AI	PASS	0.000000	unsmile-weighted-th035-v1	unsmile_weighted:악플/욕설=0.000:raw=0.073:weighted=0.073:clean=0.900	VISIBLE	06FDKJ26AP1A82X0RJSYRRHF7M	2026-06-18 08:10:41.669857
21	공격적으로 보이는 무해 문장	너무 무리하지 말고 천천히 하자	PASS	aggressive_but_safe	권유	[UNSMILE_WEIGHTED_TH035] 너무 무리하지 말고 천천히 하자	PASS	TRUE		AI	PASS	0.005856	unsmile-weighted-th035-v1	unsmile_weighted:악플/욕설=0.006:raw=0.095:weighted=0.095:clean=0.887	VISIBLE	06FDKJ273V2JSQAR3BNAR8VX6M	2026-06-18 08:10:41.870974
22	공격적으로 보이는 무해 문장	지금 분위기 살벌하네	PASS	aggressive_but_safe	분위기 묘사	[UNSMILE_WEIGHTED_TH035] 지금 분위기 살벌하네	PASS	TRUE		AI	PASS	0.048281	unsmile-weighted-th035-v1	unsmile_weighted:악플/욕설=0.048:raw=0.133:weighted=0.133:clean=0.844	VISIBLE	06FDKJ27WVKVJMRKV682STMPJG	2026-06-18 08:10:42.070564
23	공격적으로 보이는 무해 문장	상대 압박이 미쳤다	PASS	aggressive_but_safe	강조 표현	[UNSMILE_WEIGHTED_TH035] 상대 압박이 미쳤다	PASS	TRUE		AI	PASS	0.000000	unsmile-weighted-th035-v1	unsmile_weighted:악플/욕설=0.000:raw=0.087:weighted=0.087:clean=0.886	VISIBLE	06FDKJ28NXNDAE07EKGQ90G5R4	2026-06-18 08:10:42.271619
24	공격적으로 보이는 무해 문장	와 이건 그냥 졌다 인정	PASS	aggressive_but_safe	패배 인정	[UNSMILE_WEIGHTED_TH035] 와 이건 그냥 졌다 인정	PASS	TRUE		AI	PASS	0.008831	unsmile-weighted-th035-v1	unsmile_weighted:악플/욕설=0.009:raw=0.096:weighted=0.096:clean=0.868	VISIBLE	06FDKJ29EWHZ11PT6FK5TQ0B2W	2026-06-18 08:10:42.469913
25	공격적으로 보이는 무해 문장	오늘 컨디션이 너무 안 좋아 보인다	PASS	aggressive_but_safe	상태 관찰	[UNSMILE_WEIGHTED_TH035] 오늘 컨디션이 너무 안 좋아 보인다	PASS	TRUE		AI	PASS	0.000000	unsmile-weighted-th035-v1	unsmile_weighted:악플/욕설=0.000:raw=0.062:weighted=0.062:clean=0.912	VISIBLE	06FDKJ2A83ZVNRNRBQPXYVHFP4	2026-06-18 08:10:42.671611
26	공격적으로 보이는 무해 문장	방금 콜은 너무 급했다	PASS	aggressive_but_safe	판단 평가	[UNSMILE_WEIGHTED_TH035] 방금 콜은 너무 급했다	PASS	TRUE		AI	PASS	0.000000	unsmile-weighted-th035-v1	unsmile_weighted:악플/욕설=0.000:raw=0.071:weighted=0.071:clean=0.898	VISIBLE	06FDKJ2B14DWQK907SBT80SWTR	2026-06-18 08:10:42.879813
27	공격적으로 보이는 무해 문장	이 타이밍은 진짜 아깝다	PASS	aggressive_but_safe	아쉬움 표현	[UNSMILE_WEIGHTED_TH035] 이 타이밍은 진짜 아깝다	PASS	TRUE		AI	PASS	0.011867	unsmile-weighted-th035-v1	unsmile_weighted:악플/욕설=0.012:raw=0.099:weighted=0.099:clean=0.872	VISIBLE	06FDKJ2BT41GZ9DHEQ77TDYX7G	2026-06-18 08:10:43.144951
