id	category	message	expected_action	risk_type	note	sent_message	actual_action	is_correct	error_type	stage	verdict	score	model_version	reason	message_status	message_id	checked_at
1	공격적으로 보이는 무해 문장	아 진짜 답답하네 다시 해보자	PASS	aggressive_but_safe	상황 불만	[UNSMILE_WEIGHTED] 아 진짜 답답하네 다시 해보자	PASS	TRUE		AI	PASS	0.198918	unsmile-weighted-v1	unsmile_weighted:악플/욕설=0.199:raw=0.270:weighted=0.270:clean=0.713	VISIBLE	06FDJYRA2ETYCSXQE0GVXHDZAM	2026-06-18 06:46:25.983371
2	공격적으로 보이는 무해 문장	와 이 판 너무 터졌다 다음 판 가자	PASS	aggressive_but_safe	게임 상황 표현	[UNSMILE_WEIGHTED] 와 이 판 너무 터졌다 다음 판 가자	PASS	TRUE		AI	PASS	0.005750	unsmile-weighted-v1	unsmile_weighted:악플/욕설=0.006:raw=0.094:weighted=0.094:clean=0.882	VISIBLE	06FDJYRAVHD86V0P7FD6RKWHTM	2026-06-18 06:46:26.046193
3	공격적으로 보이는 무해 문장	방금 플레이는 좀 아쉬웠다	PASS	aggressive_but_safe	비판이지만 인신공격 아님	[UNSMILE_WEIGHTED] 방금 플레이는 좀 아쉬웠다	PASS	TRUE		AI	PASS	0.000000	unsmile-weighted-v1	unsmile_weighted:악플/욕설=0.000:raw=0.062:weighted=0.062:clean=0.908	VISIBLE	06FDJYRBMKTVREZY6QJK9P0SA0	2026-06-18 06:46:26.115129
4	공격적으로 보이는 무해 문장	이건 솔직히 별로였어	PASS	aggressive_but_safe	콘텐츠 평가	[UNSMILE_WEIGHTED] 이건 솔직히 별로였어	PASS	TRUE		AI	PASS	0.013945	unsmile-weighted-v1	unsmile_weighted:악플/욕설=0.014:raw=0.101:weighted=0.101:clean=0.871	VISIBLE	06FDJYRCDMQ89W07V6B5H073D8	2026-06-18 06:46:26.184078
5	공격적으로 보이는 무해 문장	오늘 경기 흐름이 너무 처참했다	PASS	aggressive_but_safe	경기 상태 평가	[UNSMILE_WEIGHTED] 오늘 경기 흐름이 너무 처참했다	PASS	TRUE		AI	PASS	0.000000	unsmile-weighted-v1	unsmile_weighted:악플/욕설=0.000:raw=0.087:weighted=0.087:clean=0.884	VISIBLE	06FDJYRD6P4VDT3SG9Z1BAQA8R	2026-06-18 06:46:26.261965
6	공격적으로 보이는 무해 문장	아니 왜 거기서 들어가냐	PASS	aggressive_but_safe	상황 반응	[UNSMILE_WEIGHTED] 아니 왜 거기서 들어가냐	PASS	TRUE		AI	PASS	0.036973	unsmile-weighted-v1	unsmile_weighted:악플/욕설=0.037:raw=0.121:weighted=0.121:clean=0.840	VISIBLE	06FDJYRDZVY8CDFRD1W7BCBJMG	2026-06-18 06:46:26.344202
7	공격적으로 보이는 무해 문장	그 판단은 좀 위험했어	PASS	aggressive_but_safe	행동 평가	[UNSMILE_WEIGHTED] 그 판단은 좀 위험했어	PASS	TRUE		AI	PASS	0.000000	unsmile-weighted-v1	unsmile_weighted:악플/욕설=0.000:raw=0.065:weighted=0.065:clean=0.903	VISIBLE	06FDJYRERXMXDJE4KT6DEB4KMW	2026-06-18 06:46:26.440515
8	공격적으로 보이는 무해 문장	팀 합이 안 맞아서 답답하다	PASS	aggressive_but_safe	팀워크 평가	[UNSMILE_WEIGHTED] 팀 합이 안 맞아서 답답하다	PASS	TRUE		AI	PASS	0.000000	unsmile-weighted-v1	unsmile_weighted:악플/욕설=0.000:raw=0.077:weighted=0.077:clean=0.894	VISIBLE	06FDJYRFHXR3WDJHHNVCHRGCKC	2026-06-18 06:46:26.533236
9	공격적으로 보이는 무해 문장	이 전략은 실패한 것 같아	PASS	aggressive_but_safe	전략 평가	[UNSMILE_WEIGHTED] 이 전략은 실패한 것 같아	PASS	TRUE		AI	PASS	0.000000	unsmile-weighted-v1	unsmile_weighted:악플/욕설=0.000:raw=0.082:weighted=0.082:clean=0.896	VISIBLE	06FDJYRGB1T7ZVJAFMFWZP9ZVC	2026-06-18 06:46:26.627785
10	공격적으로 보이는 무해 문장	방송 오늘 좀 산만하네	PASS	aggressive_but_safe	방송 평가	[UNSMILE_WEIGHTED] 방송 오늘 좀 산만하네	PASS	TRUE		AI	PASS	0.000000	unsmile-weighted-v1	unsmile_weighted:악플/욕설=0.000:raw=0.080:weighted=0.080:clean=0.891	VISIBLE	06FDJYRH40H68X2G37Y45XXMAG	2026-06-18 06:46:26.713709
11	공격적으로 보이는 무해 문장	아 손이 꼬였네 다시 집중하자	PASS	aggressive_but_safe	자기 실수 표현	[UNSMILE_WEIGHTED] 아 손이 꼬였네 다시 집중하자	PASS	TRUE		AI	PASS	0.168257	unsmile-weighted-v1	unsmile_weighted:악플/욕설=0.168:raw=0.242:weighted=0.242:clean=0.736	VISIBLE	06FDJYRHXP9AMT6RVA4HDGED28	2026-06-18 06:46:26.783847
12	공격적으로 보이는 무해 문장	방금은 내가 너무 못했다	PASS	aggressive_but_safe	자기 비판	[UNSMILE_WEIGHTED] 방금은 내가 너무 못했다	PASS	TRUE		AI	PASS	0.000000	unsmile-weighted-v1	unsmile_weighted:악플/욕설=0.000:raw=0.072:weighted=0.072:clean=0.894	VISIBLE	06FDJYRJQB34BA2B19JHW8Q77R	2026-06-18 06:46:26.853934
13	공격적으로 보이는 무해 문장	상대가 너무 잘해서 힘들다	PASS	aggressive_but_safe	상대 칭찬 포함	[UNSMILE_WEIGHTED] 상대가 너무 잘해서 힘들다	PASS	TRUE		AI	PASS	0.000000	unsmile-weighted-v1	unsmile_weighted:악플/욕설=0.000:raw=0.075:weighted=0.075:clean=0.895	VISIBLE	06FDJYRKG35K4Z31761HP3EN5R	2026-06-18 06:46:26.924199
14	공격적으로 보이는 무해 문장	와 멘탈 나갈 뻔했다	PASS	aggressive_but_safe	감정 표현	[UNSMILE_WEIGHTED] 와 멘탈 나갈 뻔했다	PASS	TRUE		AI	PASS	0.019951	unsmile-weighted-v1	unsmile_weighted:악플/욕설=0.020:raw=0.106:weighted=0.106:clean=0.860	VISIBLE	06FDJYRM8X7S0F8RZH55M7KS4W	2026-06-18 06:46:27.002352
15	공격적으로 보이는 무해 문장	진짜 열받지만 인정한다	PASS	aggressive_but_safe	공격 대상 없음	[UNSMILE_WEIGHTED] 진짜 열받지만 인정한다	PASS	TRUE		AI	PASS	0.100439	unsmile-weighted-v1	unsmile_weighted:악플/욕설=0.100:raw=0.180:weighted=0.180:clean=0.793	VISIBLE	06FDJYRN23MW1DGPHVF7PGN32G	2026-06-18 06:46:27.068741
16	공격적으로 보이는 무해 문장	그 장면은 보기 불편했다	PASS	aggressive_but_safe	장면 평가	[UNSMILE_WEIGHTED] 그 장면은 보기 불편했다	PASS	TRUE		AI	PASS	0.000000	unsmile-weighted-v1	unsmile_weighted:악플/욕설=0.000:raw=0.069:weighted=0.069:clean=0.901	VISIBLE	06FDJYRNVYD27Y0NJPBYK7DC6G	2026-06-18 06:46:27.142079
